Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Sale price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
Happy Bath,116786733 - 349693890,simple,SKU_1XJ57X_5S75J6,Happy Bath Soap Berry Moisture Micellar Cleansing Water,-1,0,visible,Skin Concerns: Moisture,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_1XJ57X_5S75J6_1.webp"" width=""100%"" />""",taxable,1,0,0,1,5060,,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1XJ57X_5S75J6_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,400ml,1,0
,116693936 - 349526462,simple,SKU_1XH5M8_5S3KCE,Rosette Rice Release Cleansing Liquid,-1,0,visible,"Skin type: all skin
Area used: face
Total Quantity: 1","<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_1XH5M8_5S3KCE_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_1XH5M8_5S3KCE_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_1XH5M8_5S3KCE_3.webp"" width=""100%"" />""",taxable,1,0,0,1,23800,18770,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1XH5M8_5S3KCE_4.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,200g,1,0
,115561437 - 346255184,simple,SKU_1WSVRX_5Q5G7K,Judanhak Hyoum Clear Cleansing Water,-1,0,visible,,,taxable,1,0,0,1,30000,15440,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1WSVRX_5Q5G7K_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,300ml,1,0
Gangvely,96560262 - 297189725,simple,SKU_1LHMDI_4WXT25,Gangvely Jeju Canola Honey Essential Cleansing Water,-1,0,visible,,,taxable,1,0,0,1,4270,,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1LHMDI_4WXT25_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,500ml,1,0
,73159649 - 243831631,simple,SKU_17K2CH_4165OV,Seulara Flower Filled Cleansing Water,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_17K2CH_4165OV_1.webp"" width=""100%"" />""",taxable,1,0,0,1,5730,,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_17K2CH_4165OV_2.webp,",0,KeySpecifications,content reference,1,0,Capacity,500ml,1,0
Vdl,70234946 - 234821951,simple,SKU_15TDMQ_3VT1RZ,VDL Naked Cleansing Liquid,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15TDMQ_3VT1RZ_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15TDMQ_3VT1RZ_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15TDMQ_3VT1RZ_3.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15TDMQ_3VT1RZ_4.webp"" width=""100%"" />""",taxable,1,0,0,1,22000,15850,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_15TDMQ_3VT1RZ_5.webp,",0,KeySpecifications,for all skin type,1,0,Capacity,200ml,1,0
,70023042 - 234249295,simple,SKU_15OU4I_3VGRWV,Labno 4SP Pure Cleansing Water,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15OU4I_3VGRWV_1.webp"" width=""100%"" />""",taxable,1,0,0,1,20000,13320,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_15OU4I_3VGRWV_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,210ml,1,0
Klavuu,64382176 - 218237992,simple,SKU_12BXLS_3LXLIG,Klavuu Pure Pulsation Marine Collagen Micro Cleansing Water,-1,0,visible,"Skin concerns: soothing/moisturizing
Skin type: all skin
Area used: face","<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12BXLS_3LXLIG_1.webp"" width=""100%"" />""",taxable,1,0,0,1,16000,8830,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12BXLS_3LXLIG_2.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12BXLS_3LXLIG_3.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,250ml,1,0
,48799117 - 172671068,simple,SKU_T1XN1_2USXUK,SkinAri Fresh Deep Cleansing Water,-1,0,visible,"Skin Concerns: Moisture
Skin type: all skin
Area used: face","<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_T1XN1_2USXUK_1.webp"" width=""100%"" />""",taxable,1,0,0,1,7080,,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_T1XN1_2USXUK_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_T1XN1_2USXUK_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,150ml,1,0
,2577964 - 11912556,simple,SKU_1J964_73BSC,TreeNC Eskimo Mela Smoothing Cleansing Water,-1,0,visible,"Skin Concerns: Pores
Skin type: all skin
Area used: face",,taxable,1,0,0,1,23000,17440,Single Life > Shower/Cleansing > Cleansing > Oil/Water,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1J964_73BSC_2.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,200ml,1,0
