Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,2284590 - 10449128,"simple","SKU_1CYSU_67YLK","Noxzema Classic Clean Moisturizing Cleansing Cream","-1","0","visible","Import Type: Overseas Direct Delivery
Skin concerns: soothing/moisturizing","","taxable",1,0,0,1,"0","11800","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1CYSU_67YLK_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1CYSU_67YLK_4.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","340g",1,0
,243036 - 553630,"simple","SKU_57J0_BV6M","Beauty Without Cruelty Facial Cleanser Vitamin C with CoQ10","-1","0","visible","Import Type: Overseas Direct Delivery","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_57J0_BV6M_1.webp" alt="SKU_57J0_BV6M_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_57J0_BV6M_2.webp" alt="SKU_57J0_BV6M_2.webp" width="100%" />","taxable",1,0,0,1,"0","15600","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_57J0_BV6M_3.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","250ml",1,0
,1623902015 - 2770776428,"simple","SKU_QUTUTB_19TNCRW","Garnier Skin Active The Gentle Cleanser","-1","0","visible","","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QUTUTB_19TNCRW_1.webp" alt="SKU_QUTUTB_19TNCRW_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QUTUTB_19TNCRW_2.webp" alt="SKU_QUTUTB_19TNCRW_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QUTUTB_19TNCRW_3.webp" alt="SKU_QUTUTB_19TNCRW_3.webp" width="100%" />","taxable",1,0,0,1,"0","16890","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_QUTUTB_19TNCRW_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_QUTUTB_19TNCRW_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_QUTUTB_19TNCRW_6.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","400ml",1,0
,7077333707 - 17594918459,"simple","SKU_391NTMZ_82ZK5YZ","Clave Repair Cleansing Milk","-1","0","visible","Total Quantity: 1
Skin type: all skin
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_391NTMZ_82ZK5YZ_1.webp" alt="SKU_391NTMZ_82ZK5YZ_1.webp" width="100%" />","taxable",1,0,0,1,"40000","40000","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_391NTMZ_82ZK5YZ_2.webp,",0,"KeySpecifications","content reference",1,0,"Capacity","content reference",1,0
,6374938430 - 13518600478,"simple","SKU_2XFH1Z2_67KMIVY","Oribe Cleansing Cream for Moisture & Control","-1","0","visible","Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_1.webp" alt="SKU_2XFH1Z2_67KMIVY_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_2.webp" alt="SKU_2XFH1Z2_67KMIVY_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_3.webp" alt="SKU_2XFH1Z2_67KMIVY_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_4.webp" alt="SKU_2XFH1Z2_67KMIVY_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_5.webp" alt="SKU_2XFH1Z2_67KMIVY_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XFH1Z2_67KMIVY_6.webp" alt="SKU_2XFH1Z2_67KMIVY_6.webp" width="100%" />","taxable",1,0,0,1,"0","63600","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_10.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_11.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XFH1Z2_67KMIVY_12.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","250ml",1,0
,5871826342 - 10275810629,"simple","SKU_2P3XM7A_4PXYA85","PrimalElements Cleansing Body Cream Sebum Coconut","-1","0","visible","Skin concerns: soothing/moisturizing
Skin type: all skin
Area used: face
Total Quantity: 1","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2P3XM7A_4PXYA85_1.webp" alt="SKU_2P3XM7A_4PXYA85_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2P3XM7A_4PXYA85_2.webp" alt="SKU_2P3XM7A_4PXYA85_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2P3XM7A_4PXYA85_3.webp" alt="SKU_2P3XM7A_4PXYA85_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2P3XM7A_4PXYA85_4.webp" alt="SKU_2P3XM7A_4PXYA85_4.webp" width="100%" />","taxable",1,0,0,1,"0","19800","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2P3XM7A_4PXYA85_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2P3XM7A_4PXYA85_6.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","198g",1,0
Neutrogena,853382 - 3403388,"simple","SKU_IAH2_20Y2K","Neutrogena Deep Clean Cream Cleanser Oil Free","-1","0","visible","Import Type: Overseas Direct Delivery","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_IAH2_20Y2K_1.webp" alt="SKU_IAH2_20Y2K_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_IAH2_20Y2K_2.webp" alt="SKU_IAH2_20Y2K_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_IAH2_20Y2K_3.webp" alt="SKU_IAH2_20Y2K_3.webp" width="100%" />","taxable",1,0,0,1,"0","13300","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_IAH2_20Y2K_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_IAH2_20Y2K_5.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","Refer to the product detail page",1,0
,65626079 - 221404958,"simple","SKU_132LEN_3NTH5Q","100% Pure Coconut Oil Moisturizing Cleansing Milk","-1","0","visible","","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_132LEN_3NTH5Q_1.webp" alt="SKU_132LEN_3NTH5Q_1.webp" width="100%" />","taxable",1,0,0,1,"48000","42000","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_132LEN_3NTH5Q_2.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_132LEN_3NTH5Q_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","100ml",1,0
,111497591 - 335774714,"simple","SKU_1UDS3B_5JWTFE","Shea Moisture Virgin Coconut Oil Daily Hydration Face Milk Cleanser","-1","0","visible","Skin Concerns: Moisture","","taxable",1,0,0,1,"0","12350","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1UDS3B_5JWTFE_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1UDS3B_5JWTFE_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1UDS3B_5JWTFE_7.webp,",0,"KeySpecifications","Unknown (seller information not provided)",1,0,"Capacity","118ml",1,0
,5545975393 - 8748830221,"simple","SKU_2JPXI01_40OTSLP","Skinderm Moisturizing Care Define Cleansing Milk For Neutral","-1","0","visible","Total Quantity: 1
Skin concerns: soothing/moisturizing
Skin type: all skin
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2JPXI01_40OTSLP_1.webp" alt="SKU_2JPXI01_40OTSLP_1.webp" width="100%" />","taxable",1,0,0,1,"0","16280","Beauty > Cleansing/Peeling > Cleansing Lotion/Cream","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2JPXI01_40OTSLP_2.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2JPXI01_40OTSLP_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","220 ml",1,0
