Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
Medi Flower,2173477 - 10825371,"simple","SKU_1AL2D_6G0WR","Medi Flower Modeling Pack Papain Enzyme","-1","0","visible","Area used: face
Skin Concerns: Pores
Skin type: all skin
Total Quantity: 1","","taxable",1,0,0,1,"0","13500","Beauty > Skin Care > Mask/Pack > Rubber/Modeling","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1AL2D_6G0WR_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1AL2D_6G0WR_6.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","1000g",1,0
Flip,2309847445 - 3983450147,"simple","SKU_12781P1_1TVN5SZ","Flip Cica Aloe Spot Patch 51p + Soothing Spot Gel Acne Ointment 4.5g","-1","0","visible","Skin concerns: soothing/moisturizing
Type: spot type
Area used: spot
Mask Pack Ingredients: Aloe","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_12.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12781P1_1TVN5SZ_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12781P1_1TVN5SZ_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12781P1_1TVN5SZ_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12781P1_1TVN5SZ_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_12781P1_1TVN5SZ_1.webp" width="100%" />","taxable",1,0,0,1,"21000","14900","Beauty > Clean/Vegan Beauty > Skin Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_11.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_12.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_12781P1_1TVN5SZ_10.webp,",0,"KeySpecifications","Patch: quasi-drug / spot gel: not applicable",1,0,"Capacity","Flip Cica-Aloe Spot Patch + Soothing Spot Gel / Spot Patch : Widder Sense",1,0
,5885158442 - 10332988927,"simple","SKU_2PBVDBE_4QVZTA7","Matricol Collagen One Skin Zone Sheet Mask","-1","0","visible","Area used: face
Skin concerns: Elasticity
Skin type: all skin
Total Quantity: 4","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2PBVDBE_4QVZTA7_1.webp" width="100%" />","taxable",1,0,0,1,"111900","91900","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2PBVDBE_4QVZTA7_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2PBVDBE_4QVZTA7_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","1. chg",1,0
Ernish,6012186004 - 10909870309,"simple","SKU_2RFI0ES_50FGDT1","Ernish Quick and Calm Essence Hyaluronic Acid Mask Pack 23ml","-1","0","visible","Area used: face
Skin concerns: soothing/moisturizing
Skin type: all skin
Total Quantity: 50","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2RFI0ES_50FGDT1_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2RFI0ES_50FGDT1_1.webp" width="100%" />","taxable",1,0,0,1,"0","16900","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2RFI0ES_50FGDT1_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2RFI0ES_50FGDT1_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2RFI0ES_50FGDT1_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2RFI0ES_50FGDT1_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","Work",1,0
,6465494127 - 14090939970,"simple","SKU_2YXDZ73_6H1DQV6","Pyunkang Yul Soothing Pore Clear Wash Off Pack 100g","-1","0","visible","Skin type: all skin
Weight per piece: 100g
Total Quantity: 1
Skin Concerns: Pores","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YXDZ73_6H1DQV6_6.webp" width="100%" />","taxable",1,0,0,1,"19000","15900","Beauty > Skin Care > Mask/Pack > Wash Off Pack","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2YXDZ73_6H1DQV6_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2YXDZ73_6H1DQV6_8.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","100g",1,0
Vt Cosmetics,5637600453 - 9187783141,"simple","SKU_2L8HCCL_47Y62UD","VT Pro Cica Daily Soothing Mask","-1","0","visible","Area used: face
Skin concerns: soothing/moisturizing
Skin type: all skin
Total Quantity: 1","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2L8HCCL_47Y62UD_1.jpg" width="100%" />","taxable",1,0,0,1,"24000","17670","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2L8HCCL_47Y62UD_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","350g",1,0
Dewytree,4577347441 - 5603623176,"simple","SKU_23P8FW1_2KO93BC","Dewytree Special Pick & Quick Pullout Mask Calmingful + High Amino Foam 50ml","-1","0","visible","Skin concerns: soothing/moisturizing
Total Quantity: 1 Piece
Capacity per piece: 50ml","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_23P8FW1_2KO93BC_2.jpg" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_23P8FW1_2KO93BC_1.webp" width="100%" />","taxable",1,0,0,1,"23000","13800","Beauty > Clean/Vegan Beauty > Skin Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_23P8FW1_2KO93BC_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_23P8FW1_2KO93BC_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_23P8FW1_2KO93BC_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_23P8FW1_2KO93BC_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","Mask : 380g + Foam cleanser : 50ml",1,0
Witch Factory,2284870727 - 3927206851,"simple","SKU_11SCPJB_1SY5O77","Manyo Factory Bifida Biome Ampoule Mask","-1","0","visible","Total quantity: 10 sheets
Weight per piece: 30g
Mask pack type: sheet pack
Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_11SCPJB_1SY5O77_2.jpg" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_11SCPJB_1SY5O77_1.webp" width="100%" />","taxable",1,0,0,1,"30000","14500","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_11SCPJB_1SY5O77_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_11SCPJB_1SY5O77_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_11SCPJB_1SY5O77_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_11SCPJB_1SY5O77_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_11SCPJB_1SY5O77_4.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","30g*10 sheets",1,0
Witch Factory,6758511998 - 15831776054,"simple","SKU_33RUD8E_79TTWL2","Manyo Factory Galactomy Essence Wrap Mask","-1","0","visible","Area used: face
Skin Concerns: Pores
Skin type: all skin
Total quantity: 10 sheets","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_33RUD8E_79TTWL2_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_33RUD8E_79TTWL2_2.jpg" width="100%" />","taxable",1,0,0,1,"50000","29290","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_33RUD8E_79TTWL2_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","churning",1,0
Jm Solution,6881872654 - 16494664964,"simple","SKU_35TAEXA_7KSHWXW","JM solution Disney Quick Routine Nourishing Honey Mask","-1","0","visible","Mask Pack Type: Sheet Mask
Total Quantity: 30
Area used: face
Skin concerns: supply of nutrients","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_35TAEXA_7KSHWXW_1.webp" width="100%" />","taxable",1,0,0,1,"0","13000","Beauty > Skin Care > Mask/Pack > Sheet Mask","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_35TAEXA_7KSHWXW_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","content reference",1,0
