Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
Merry Sword,5308535918 - 13856562898,"simple","SKU_2FSKCJ2_6D5U8CY","Marysod Lil Tattoo Velvet Tint 4g","-1","0","visible","Weight per piece: 4g
Applyability: Matt / Mousse
Tattoo Tint: Tattoo Tint
Color family: Red family","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2FSKCJ2_6D5U8CY_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_8.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2FSKCJ2_6D5U8CY_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2FSKCJ2_6D5U8CY_4.webp" width="100%" />","taxable",1,0,0,1,"28000","10800","Beauty > Makeup > Lip Makeup > Tint/Lip Gloss","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2FSKCJ2_6D5U8CY_10.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2FSKCJ2_6D5U8CY_11.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","chg",1,0
,42032107 - 251832014,"simple","SKU_P0W6J_45XMTQ","Passion Cat Twist Velvet Tint 3.5g","-1","0","visible","Color type: Pink type
Container type: rod/tip type
Applyability: Matt / Mousse
Weight per piece: 3.5g","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_P0W6J_45XMTQ_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_P0W6J_45XMTQ_2.jpg" width="100%" />","taxable",1,0,0,1,"0","9800","Beauty > Makeup > Lip Makeup > Tint/Lip Gloss","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_P0W6J_45XMTQ_7.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","3.5g",1,0
,6993415584 - 17123970035,"simple","SKU_37NP600_7V763UB","Rock Color Matte Lip Crayon 1.2g","-1","0","visible","Weight per piece: 1.2g
Container type: stick/pencil type
Type: Cream/Balm/Stick
Applyability: Matt / Mousse","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_37NP600_7V763UB_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_37NP600_7V763UB_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_37NP600_7V763UB_1.webp" width="100%" />","taxable",1,0,0,1,"12000","9000","Beauty > Makeup > Lip Makeup > Lipstick","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_10.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_37NP600_7V763UB_5.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","1.2g",1,0
Merge,6480286248 - 14183115491,"simple","SKU_2Z670VC_6IK9DYB","Merge the Watery Dew Lip Tint 4g","-1","0","visible","Color family: Red family
Container type: rod/tip type
Applyability: Glossy/Shimmer
Weight per piece: 4g","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Z670VC_6IK9DYB_2.jpg" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Z670VC_6IK9DYB_1.webp" width="100%" />","taxable",1,0,0,1,"12090","10900","Beauty > Makeup > Lip Makeup > Tint/Lip Gloss","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Z670VC_6IK9DYB_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","chg",1,0
,5625691201 - 9133819032,"simple","SKU_2L1E341_4721FVC","Celline Bubble Lip Lip Keratin Remover","-1","0","visible","Capacity per piece: 15ml
Skin type: all skin
Container type: rod/tip type
Applyability: Glossy/Shimmer","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2L1E341_4721FVC_1.webp" width="100%" />","taxable",1,0,0,1,"8700","8610","Beauty > Makeup > Lip Makeup > Lip Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2L1E341_4721FVC_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","15ml",1,0
,1312327151 - 2329716458,"simple","SKU_LPBQ3Z_12J1WQ2","Natinda Creamy Lip Crayon 3g","-1","0","visible","Color type: Pink type
Type: Cream/Balm/Stick
Container type: stick/pencil type
Applyability: Glossy/Shimmer","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_LPBQ3Z_12J1WQ2_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_LPBQ3Z_12J1WQ2_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_LPBQ3Z_12J1WQ2_1.webp" width="100%" />","taxable",1,0,0,1,"0","8260","Beauty > Makeup > Lip Makeup > Lipstick","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_LPBQ3Z_12J1WQ2_4.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","zg",1,0
,1776155845 - 3024414872,"simple","SKU_TDH6MD_1E0NPG8","Dr. Popo Tinted Peach Pink Lip Balm 10ml","-1","0","visible","Capacity per piece: 10ml
Container type: tube type
Color Family: Pink
Target audience: Women","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_TDH6MD_1E0NPG8_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_TDH6MD_1E0NPG8_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_TDH6MD_1E0NPG8_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_TDH6MD_1E0NPG8_2.webp" width="100%" />","taxable",1,0,0,1,"12000","11100","Beauty > Makeup > Lip Makeup > Lip Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_TDH6MD_1E0NPG8_5.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","10ml",1,0
Maybelline,91519801 - 3496814061,"simple","SKU_1IHL4P_1LTWUZX","Maybelline New York Superstay Matte Lip Tint 5ml","-1","0","visible","Color family: Red family
Container type: rod/tip type
Applyability: Matt / Mousse
Capacity per piece: 5ml","","taxable",1,0,0,1,"16000","9970","Beauty > Makeup > Lip Makeup > Tint/Lip Gloss","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1IHL4P_1LTWUZX_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1IHL4P_1LTWUZX_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1IHL4P_1LTWUZX_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1IHL4P_1LTWUZX_6.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","5 ml",1,0
,1625038808 - 2772508079,"simple","SKU_QVI7YW_19UOGXB","MCC Glam Lipstick 3g","-1","0","visible","Weight per piece: 3g
Color: Lavender/Purple
Type: Cream/Balm/Stick
Container type: stick/pencil type","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_QVI7YW_19UOGXB_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_QVI7YW_19UOGXB_8.webp" width="100%" />","taxable",1,0,0,1,"0","10700","Beauty > Makeup > Lip Makeup > Lipstick","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_QVI7YW_19UOGXB_11.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","zg",1,0
Bouquet Garni,6413513094 - 13764652954,"simple","SKU_2Y2FUDI_6BN4A6Y","Bouquet Garni Blossom Velvet Lip Tint 4.3g","-1","0","visible","Weight per piece: 4.3g
Color type: Pink type
Applyability: Matt / Mousse
Container type: rod/tip type","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_27.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_29.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_26.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_32.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_30.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_21.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_25.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_28.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_31.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_12.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_16.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_18.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_20.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_24.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_13.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_15.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_22.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_23.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_8.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_19.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_14.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2Y2FUDI_6BN4A6Y_17.webp" width="100%" />","taxable",1,0,0,1,"12000","7900","Beauty > Makeup > Lip Makeup > Tint/Lip Gloss","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_27.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_29.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_26.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_32.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_30.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_28.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2Y2FUDI_6BN4A6Y_31.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","h.zg",1,0
